"layer","case","idx","us"
"B0-A","P3 (3 actions)","6","41.0008430480957"
"B0-A","P3 (3 actions)","7","41.001319885253906"
"B0-A","P3 (3 actions)","8","40.9998893737793"
"B0-A","P3 (3 actions)","9","40.00139236450195"
"B0-A","P3 (3 actions)","10","41.20779037475586"
"B0-A","P3 (3 actions)","11","41.0008430480957"
"B0-A","P3 (3 actions)","12","41.001319885253906"
"B0-A","P3 (3 actions)","13","40.9998893737793"
"B0-A","P3 (3 actions)","14","41.0008430480957"
"B0-A","P3 (3 actions)","15","41.001319885253906"
"B0-A","P3 (3 actions)","16","41.0008430480957"
"B0-A","P3 (3 actions)","17","41.0003662109375"
"B0-A","P3 (3 actions)","18","41.01705551147461"
"B0-A","P3 (3 actions)","19","41.02277755737305"
"B0-A","P3 (3 actions)","20","41.0008430480957"
"B0-A","P3 (3 actions)","21","41.0003662109375"
"B0-A","P3 (3 actions)","22","40.00043869018555"
"B0-A","P3 (3 actions)","23","42.000770568847656"
"B0-A","P3 (3 actions)","24","41.001319885253906"
"B0-A","P3 (3 actions)","25","41.001319885253906"
"B0-A","P3 (3 actions)","26","41.0008430480957"
"B0-A","P3 (3 actions)","27","40.00139236450195"
"B0-A","P3 (3 actions)","28","44.001102447509766"
"B0-A","P3 (3 actions)","29","41.99981689453125"
"B0-A","P3 (3 actions)","30","40.00091552734375"
"B0-A","P3 (3 actions)","31","41.0008430480957"
"B0-A","P3 (3 actions)","32","41.0008430480957"
"B0-A","P3 (3 actions)","33","41.86201095581055"
"B0-A","P3 (3 actions)","34","41.0008430480957"
"B0-A","P3 (3 actions)","35","41.0008430480957"
"B0-A","P3 (3 actions)","36","40.9998893737793"
"B0-A","P3 (3 actions)","37","41.00179672241211"
"B0-A","P3 (3 actions)","38","41.001319885253906"
"B0-A","P3 (3 actions)","39","41.01133346557617"
"B0-A","P3 (3 actions)","40","41.024208068847656"
"B0-A","P3 (3 actions)","41","41.0003662109375"
"B0-A","P3 (3 actions)","42","41.00227355957031"
"B0-A","P3 (3 actions)","43","40.9998893737793"
"B0-A","P3 (3 actions)","44","41.99647903442383"
"B0-A","P3 (3 actions)","45","41.005611419677734"
"B0-A","P3 (3 actions)","46","40.9998893737793"
"B0-A","P3 (3 actions)","47","41.0008430480957"
"B0-A","P3 (3 actions)","48","40.00091552734375"
"B0-A","P3 (3 actions)","49","41.0008430480957"
"B0-A","P3 (3 actions)","50","41.0008430480957"
"B0-A","P10 (10 actions)","1","205.00659942626953"
"B0-A","P10 (10 actions)","2","211.0123634338379"
"B0-A","P10 (10 actions)","3","205.00421524047852"
"B0-A","P10 (10 actions)","4","205.00421524047852"
"B0-A","P10 (10 actions)","5","205.00421524047852"
"B0-A","P10 (10 actions)","6","210.0062370300293"
"B0-A","P10 (10 actions)","7","205.0018310546875"
"B0-A","P10 (10 actions)","8","205.00898361206055"
"B0-A","P10 (10 actions)","9","204.99944686889648"
"B0-A","P10 (10 actions)","10","210.00385284423828"
"B0-A","P10 (10 actions)","11","205.00421524047852"
"B0-A","P10 (10 actions)","12","205.00421524047852"
"B0-A","P10 (10 actions)","13","205.00421524047852"
"B0-A","P10 (10 actions)","14","210.0062370300293"
"B0-A","P10 (10 actions)","15","205.16157150268555"
"B0-A","P10 (10 actions)","16","205.00898361206055"
"B0-A","P10 (10 actions)","17","205.0018310546875"
"B0-A","P10 (10 actions)","18","205.0018310546875"
"B0-A","P10 (10 actions)","19","210.00385284423828"
"B0-A","P10 (10 actions)","20","205.00898361206055"
"B0-A","P10 (10 actions)","21","205.0018310546875"
"B0-A","P10 (10 actions)","22","210.0086212158203"
"B0-A","P10 (10 actions)","23","205.00659942626953"
"B0-A","P10 (10 actions)","24","209.99670028686523"
"B0-A","P10 (10 actions)","25","210.00385284423828"
"B0-A","P10 (10 actions)","26","205.00421524047852"
"B0-A","P10 (10 actions)","27","205.00659942626953"
"B0-A","P10 (10 actions)","28","205.0018310546875"
"B0-A","P10 (10 actions)","29","205.00898361206055"
"B0-A","P10 (10 actions)","30","204.99944686889648"
"B0-A","P10 (10 actions)","31","205.00421524047852"
"B0-A","P10 (10 actions)","32","210.00385284423828"
"B0-A","P10 (10 actions)","33","205.00421524047852"
"B0-A","P10 (10 actions)","34","204.99944686889648"
"B0-A","P10 (10 actions)","35","205.01136779785156"
"B0-A","P10 (10 actions)","36","210.06107330322266"
"B0-A","P10 (10 actions)","37","205.11627197265625"
"B0-A","P10 (10 actions)","38","205.00659942626953"
"B0-A","P10 (10 actions)","39","210.00385284423828"
"B0-A","P10 (10 actions)","40","205.00421524047852"
"B0-A","P10 (10 actions)","41","204.99944686889648"
"B0-A","P10 (10 actions)","42","210.0086212158203"
"B0-A","P10 (10 actions)","43","205.00421524047852"
"B0-A","P10 (10 actions)","44","205.00659942626953"
"B0-A","P10 (10 actions)","45","205.0018310546875"
"B0-A","P10 (10 actions)","46","205.00421524047852"
"B0-A","P10 (10 actions)","47","203.27091217041016"
"B0-A","P10 (10 actions)","48","210.00146865844727"
"B0-A","P10 (10 actions)","49","204.99944686889648"
"B0-A","P10 (10 actions)","50","205.00659942626953"
"B0-A","P25 (25 actions)","1","975.0008583068848"
"B0-A","P25 (25 actions)","2","975.0723838806152"
"B0-A","P25 (25 actions)","3","974.9889373779297"
"B0-A","P25 (25 actions)","4","950.1457214355469"
"B0-A","P25 (25 actions)","5","974.881649017334"
"B0-A","P25 (25 actions)","6","975.0247001647949"
"B0-A","P25 (25 actions)","7","975.0247001647949"
"B0-A","P25 (25 actions)","8","975.0008583068848"
"B0-A","P25 (25 actions)","9","950.2410888671875"
"B0-A","P25 (25 actions)","10","1157.3076248168945"
"B0-A","P25 (25 actions)","11","975.0008583068848"
"B0-A","P25 (25 actions)","12","950.014591217041"
"B0-A","P25 (25 actions)","13","975.0247001647949"
"B0-A","P25 (25 actions)","14","975.0127792358398"
"B0-A","P25 (25 actions)","15","975.0247001647949"
"B0-A","P25 (25 actions)","16","950.014591217041"
"B0-A","P25 (25 actions)","17","975.0008583068848"
"B0-A","P25 (25 actions)","18","975.0485420227051"
"B0-A","P25 (25 actions)","19","975.0604629516602"
"B0-A","P25 (25 actions)","20","999.9871253967285"
"B0-A","P25 (25 actions)","21","975.0127792358398"
"B0-A","P25 (25 actions)","22","975.0127792358398"
"B0-A","P25 (25 actions)","23","950.0265121459961"
"B0-A","P25 (25 actions)","24","979.9718856811523"
"B0-A","P25 (25 actions)","25","975.03662109375"
"B0-A","P25 (25 actions)","26","950.0265121459961"
"B0-A","P25 (25 actions)","27","975.0008583068848"
"B0-A","P25 (25 actions)","28","975.03662109375"
"B0-A","P25 (25 actions)","29","975.0247001647949"
"B0-A","P25 (25 actions)","30","975.0127792358398"
"B0-A","P25 (25 actions)","31","950.2768516540527"
"B0-A","P25 (25 actions)","32","975.6088256835938"
"B0-A","P25 (25 actions)","33","974.9293327331543"
"B0-A","P25 (25 actions)","34","975.0962257385254"
"B0-A","P25 (25 actions)","35","975.03662109375"
"B0-A","P25 (25 actions)","36","999.9990463256836"
"B0-A","P25 (25 actions)","37","950.0622749328613"
"B0-A","P25 (25 actions)","38","974.9770164489746"
"B0-A","P25 (25 actions)","39","975.0962257385254"
"B0-A","P25 (25 actions)","40","974.9293327331543"
"B0-A","P25 (25 actions)","41","950.0384330749512"
"B0-A","P25 (25 actions)","42","975.03662109375"
"B0-A","P25 (25 actions)","43","975.0008583068848"
"B0-A","P25 (25 actions)","44","974.8935699462891"
"B0-A","P25 (25 actions)","45","975.1439094543457"
"B0-A","P25 (25 actions)","46","950.0265121459961"
"B0-A","P25 (25 actions)","47","975.0127792358398"
"B0-A","P25 (25 actions)","48","1000.0824928283691"
"B0-A","P25 (25 actions)","49","974.9770164489746"
"B0-A","P25 (25 actions)","50","950.0026702880859"
"B0-A","P50 (50 actions)","1","3856.372833251953"
"B0-A","P50 (50 actions)","2","3900.0511169433594"
"B0-A","P50 (50 actions)","3","3850.102424621582"
"B0-A","P50 (50 actions)","4","3850.1977920532227"
"B0-A","P50 (50 actions)","5","3849.911689758301"
"B0-A","P50 (50 actions)","6","3911.900520324707"
"B0-A","P50 (50 actions)","7","3900.0749588012695"
"B0-A","P50 (50 actions)","8","3850.078582763672"
"B0-A","P50 (50 actions)","9","3850.078582763672"
"B0-A","P50 (50 actions)","10","3900.0749588012695"
"B0-A","P50 (50 actions)","11","3850.078582763672"
"B0-A","P50 (50 actions)","12","3851.6759872436523"
"B0-A","P50 (50 actions)","13","3850.078582763672"
"B0-A","P50 (50 actions)","14","3850.102424621582"
"B0-A","P50 (50 actions)","15","3900.0511169433594"
"B0-A","P50 (50 actions)","16","3850.078582763672"
"B0-A","P50 (50 actions)","17","3900.12264251709"
"B0-A","P50 (50 actions)","18","3850.0070571899414"
"B0-A","P50 (50 actions)","19","3850.078582763672"
"B0-A","P50 (50 actions)","20","3850.126266479492"
"B0-A","P50 (50 actions)","21","3850.0547409057617"
"B0-A","P50 (50 actions)","22","3850.078582763672"
"B0-A","P50 (50 actions)","23","3850.078582763672"
"B0-A","P50 (50 actions)","24","3900.0749588012695"
"B0-A","P50 (50 actions)","25","3850.0547409057617"
"B0-A","P50 (50 actions)","26","3850.6269454956055"
"B0-A","P50 (50 actions)","27","3901.1240005493164"
"B0-A","P50 (50 actions)","28","3850.0308990478516"
"B0-A","P50 (50 actions)","29","3850.126266479492"
"B0-A","P50 (50 actions)","30","3800.082206726074"
"B0-A","P50 (50 actions)","31","3800.082206726074"
"B0-A","P50 (50 actions)","32","3900.027275085449"
"B0-A","P50 (50 actions)","33","3800.1298904418945"
"B0-A","P50 (50 actions)","34","3850.078582763672"
"B0-A","P50 (50 actions)","35","3850.102424621582"
"B0-A","P50 (50 actions)","36","3882.169723510742"
"B0-A","P50 (50 actions)","37","3849.81632232666"
"B0-A","P50 (50 actions)","38","3901.6246795654297"
"B0-A","P50 (50 actions)","39","3850.126266479492"
"B0-A","P50 (50 actions)","40","3850.078582763672"
"B0-A","P50 (50 actions)","41","3850.0308990478516"
"B0-A","P50 (50 actions)","42","3810.453414916992"
"B0-A","P50 (50 actions)","43","3850.102424621582"
"B0-A","P50 (50 actions)","44","3850.0547409057617"
"B0-A","P50 (50 actions)","45","3850.102424621582"
"B0-A","P50 (50 actions)","46","3850.102424621582"
"B0-A","P50 (50 actions)","47","3850.0308990478516"
"B0-A","P50 (50 actions)","48","3850.078582763672"
"B0-A","P50 (50 actions)","49","3850.102424621582"
"B0-A","P50 (50 actions)","50","3850.0547409057617"
"B0-A","PC10 (10 actions + conditions)","1","220.05558013916016"
"B0-A","PC10 (10 actions + conditions)","2","220.11756896972656"
"B0-A","PC10 (10 actions + conditions)","3","225.0075340270996"
"B0-A","PC10 (10 actions + conditions)","4","220.00789642333984"
"B0-A","PC10 (10 actions + conditions)","5","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","6","220.00789642333984"
"B0-A","PC10 (10 actions + conditions)","7","220.0007438659668"
"B0-A","PC10 (10 actions + conditions)","8","215.00110626220703"
"B0-A","PC10 (10 actions + conditions)","9","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","10","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","11","220.0174331665039"
"B0-A","PC10 (10 actions + conditions)","12","224.99322891235352"
"B0-A","PC10 (10 actions + conditions)","13","220.00551223754883"
"B0-A","PC10 (10 actions + conditions)","14","220.00551223754883"
"B0-A","PC10 (10 actions + conditions)","15","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","16","220.0770378112793"
"B0-A","PC10 (10 actions + conditions)","17","219.93398666381836"
"B0-A","PC10 (10 actions + conditions)","18","220.0007438659668"
"B0-A","PC10 (10 actions + conditions)","19","215.00825881958008"
"B0-A","PC10 (10 actions + conditions)","20","220.0007438659668"
"B0-A","PC10 (10 actions + conditions)","21","220.0627326965332"
"B0-A","PC10 (10 actions + conditions)","22","220.1080322265625"
"B0-A","PC10 (10 actions + conditions)","23","220.00789642333984"
"B0-A","PC10 (10 actions + conditions)","24","219.99597549438477"
"B0-A","PC10 (10 actions + conditions)","25","220.00789642333984"
"B0-A","PC10 (10 actions + conditions)","26","215.00587463378906"
"B0-A","PC10 (10 actions + conditions)","27","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","28","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","29","220.00551223754883"
"B0-A","PC10 (10 actions + conditions)","30","220.01028060913086"
"B0-A","PC10 (10 actions + conditions)","31","219.99835968017578"
"B0-A","PC10 (10 actions + conditions)","32","220.00551223754883"
"B0-A","PC10 (10 actions + conditions)","33","220.00789642333984"
"B0-A","PC10 (10 actions + conditions)","34","214.996337890625"
"B0-A","PC10 (10 actions + conditions)","35","225.0051498413086"
"B0-A","PC10 (10 actions + conditions)","36","219.18296813964844"
"B0-A","PC10 (10 actions + conditions)","37","219.99835968017578"
"B0-A","PC10 (10 actions + conditions)","38","219.99835968017578"
"B0-A","PC10 (10 actions + conditions)","39","220.01266479492188"
"B0-A","PC10 (10 actions + conditions)","40","224.99561309814453"
"B0-A","PC10 (10 actions + conditions)","41","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","42","220.00551223754883"
"B0-A","PC10 (10 actions + conditions)","43","220.00789642333984"
"B0-A","PC10 (10 actions + conditions)","44","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","45","221.04263305664062"
"B0-A","PC10 (10 actions + conditions)","46","225.00038146972656"
"B0-A","PC10 (10 actions + conditions)","47","220.1700210571289"
"B0-A","PC10 (10 actions + conditions)","48","220.0031280517578"
"B0-A","PC10 (10 actions + conditions)","49","220.0007438659668"
"B0-A","PC10 (10 actions + conditions)","50","220.01028060913086"
"B0-A","PA10 (10 actions + anchor refs)","1","205.00898361206055"
"B0-A","PA10 (10 actions + anchor refs)","2","199.99980926513672"
"B0-A","PA10 (10 actions + anchor refs)","3","205.00421524047852"
"B0-A","PA10 (10 actions + anchor refs)","4","205.00898361206055"
"B0-A","PA10 (10 actions + anchor refs)","5","204.99467849731445"
"B0-A","PA10 (10 actions + anchor refs)","6","215.00825881958008"
"B0-A","PA10 (10 actions + anchor refs)","7","200.05226135253906"
"B0-A","PA10 (10 actions + anchor refs)","8","202.35061645507812"
"B0-A","PA10 (10 actions + anchor refs)","9","200.11186599731445"
"B0-A","PA10 (10 actions + anchor refs)","10","205.00659942626953"
"B0-A","PA10 (10 actions + anchor refs)","11","199.9974250793457"
"B0-A","PA10 (10 actions + anchor refs)","12","200.00934600830078"
"B0-A","PA10 (10 actions + anchor refs)","13","205.00898361206055"
"B0-A","PA10 (10 actions + anchor refs)","14","199.99980926513672"
"B0-A","PA10 (10 actions + anchor refs)","15","205.0018310546875"
"B0-A","PA10 (10 actions + anchor refs)","16","200.0570297241211"
"B0-A","PA10 (10 actions + anchor refs)","17","205.1091194152832"
"B0-A","PA10 (10 actions + anchor refs)","18","201.1275291442871"
"B0-A","PA10 (10 actions + anchor refs)","19","199.99980926513672"
"B0-A","PA10 (10 actions + anchor refs)","20","205.00659942626953"
"B0-A","PA10 (10 actions + anchor refs)","21","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","22","205.00898361206055"
"B0-A","PA10 (10 actions + anchor refs)","23","204.99467849731445"
"B0-A","PA10 (10 actions + anchor refs)","24","200.0141143798828"
"B0-A","PA10 (10 actions + anchor refs)","25","200.00696182250977"
"B0-A","PA10 (10 actions + anchor refs)","26","204.99229431152344"
"B0-A","PA10 (10 actions + anchor refs)","27","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","28","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","29","200.00457763671875"
"B0-A","PA10 (10 actions + anchor refs)","30","200.00219345092773"
"B0-A","PA10 (10 actions + anchor refs)","31","200.00696182250977"
"B0-A","PA10 (10 actions + anchor refs)","32","204.99229431152344"
"B0-A","PA10 (10 actions + anchor refs)","33","205.0161361694336"
"B0-A","PA10 (10 actions + anchor refs)","34","200.00934600830078"
"B0-A","PA10 (10 actions + anchor refs)","35","197.3891258239746"
